statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation,q1,q2,q3
1 plus 1 is 2.,0,1,0,0,0,1,Mathematics and logic,category response,"Consider the statement, ""1 plus 1 is 2."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""1 plus 1 is 2."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""1 plus 1 is 2."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
5 is alot bigger than 1.,0,0,0,0,0,0,Mathematics and logic,category response,"Consider the statement, ""5 is alot bigger than 1."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""5 is alot bigger than 1."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""5 is alot bigger than 1."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A balanced diet and regular exercise is needed to remain healthy.,1,1,0,1,0,1,Health and fitness,category response,"Consider the statement, ""A balanced diet and regular exercise is needed to remain healthy."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A balanced diet and regular exercise is needed to remain healthy."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A balanced diet and regular exercise is needed to remain healthy."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A ball is round.,0,1,0,0,0,0,Natural and physical sciences,Concept Net,"Consider the statement, ""A ball is round."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A ball is round."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A ball is round."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A baton twirler doesn't want a broken finger.,0,1,0,1,1,0,Human activities,Concept Net,"Consider the statement, ""A baton twirler doesn't want a broken finger."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A baton twirler doesn't want a broken finger."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A baton twirler doesn't want a broken finger."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A battery can't provide power forever.,0,1,0,0,1,1,General reference,category response,"Consider the statement, ""A battery can't provide power forever."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A battery can't provide power forever."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A battery can't provide power forever."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A bill is not wanted.,1,0,0,1,1,1,General reference,Concept Net,"Consider the statement, ""A bill is not wanted."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A bill is not wanted."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A bill is not wanted."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A birthday would make you want to bake a cake.,1,1,0,1,1,0,Human activities,Concept Net,"Consider the statement, ""A birthday would make you want to bake a cake."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A birthday would make you want to bake a cake."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A birthday would make you want to bake a cake."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A birthday would make you want to buy something for a loved one.,1,1,0,1,1,0,Human activities,Concept Net,"Consider the statement, ""A birthday would make you want to buy something for a loved one."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A birthday would make you want to buy something for a loved one."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A birthday would make you want to buy something for a loved one."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A building where christians worship is called a church.,1,1,0,0,0,0,Religion and belief systems,category response,"Consider the statement, ""A building where christians worship is called a church."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A building where christians worship is called a church."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A building where christians worship is called a church."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A cat doesn't want a bath.,0,1,0,1,1,0,General reference,Concept Net,"Consider the statement, ""A cat doesn't want a bath."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat doesn't want a bath."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat doesn't want a bath."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
